Optimizer,lr,wd,Avg Epoch Time (s),Final Train MSE,Final Val MSE,Test MSE,Test RMSE,Test MAE,Test R²,Dir Acc (%)
SGD,0.0001,0,0.24514839762733096,0.15570765733718872,0.12522898614406586,0.12269559841352776,0.35027931485248703,0.3279491915704152,-567.111278584168,34.0
SGD,0.0001,0.0001,0.24619966839987134,0.1557072252035141,0.12522858381271362,0.12269521257655322,0.3502787640959029,0.3279486568422458,-567.1094920625669,34.0
SGD,0.0001,0.0005,0.24780620468987358,0.15570566058158875,0.12522724270820618,0.12269382197743628,0.35027677910109356,0.3279467513190052,-567.1030532411867,34.0
SGD,0.0001,0.001,0.24692163770160977,0.15570400655269623,0.12522588670253754,0.12269253905762101,0.35027494780189605,0.32794500564797135,-567.097113001879,34.0
SGD,0.0001,0.005,0.2482407774244036,0.15569020807743073,0.12521421909332275,0.12268104909728335,0.35025854607315915,0.32792936654402227,-567.0439116145211,34.0
SGD,0.0001,0.01,0.24469385449848477,0.15567293763160706,0.12519966065883636,0.12266674997680188,0.35023813324194425,0.32790989419086186,-566.9777031137729,34.0
SGD,0.0001,0.05,0.2567972569238572,0.15553534030914307,0.12508349120616913,0.1225524634763622,0.350074939800555,0.32775426433528126,-566.4485280599877,34.0
SGD,0.0001,0.1,0.2467626276470366,0.1553632766008377,0.12493821233510971,0.12240954980167525,0.34987076157014785,0.3275595378886378,-565.78680203637,34.0
SGD,0.0005,0,0.2461108480181013,0.009568953886628151,0.0076607405208051205,0.009062631038347018,0.09519785206792755,0.07553606567936336,-40.9622461857135,52.0
SGD,0.0005,0.0001,0.24538687675718276,0.009568871930241585,0.007660643197596073,0.00906250768886843,0.09519720420720575,0.07553558146613036,-40.96167504680633,52.0
SGD,0.0005,0.0005,0.24803551416548472,0.009568496607244015,0.007660272531211376,0.009062050672587824,0.09519480381085842,0.07553376737082694,-40.95955894723253,52.0
SGD,0.0005,0.001,0.24767510474674284,0.0095680458471179,0.007659814320504665,0.009061475460266435,0.09519178252489253,0.07553148374924754,-40.9568955704563,52.0
SGD,0.0005,0.005,0.24546749251229422,0.009564355947077274,0.00765608623623848,0.009056865126302707,0.09516756341476179,0.07551317897540835,-40.93554857222082,52.0
SGD,0.0005,0.01,0.24647644587925502,0.00955975241959095,0.007651432417333126,0.009051099448238108,0.09513726634835641,0.07549027145755795,-40.90885204211267,52.0
SGD,0.0005,0.05,0.25638764245169504,0.009523097425699234,0.007614376023411751,0.009005158951080866,0.0948955159693063,0.07530750722889173,-40.69613606112997,52.0
SGD,0.0005,0.1,0.24753595912267293,0.009477488696575165,0.007568328641355038,0.00894808523533018,0.09459431925507039,0.07507969389905306,-40.43187049620408,52.0
SGD,0.001,0,0.24595917595757377,0.007226862479001284,0.008084976114332676,0.011021531566710693,0.10498348235179995,0.08010371253617707,-50.032445102198764,64.0
SGD,0.001,0.0001,0.24522681084890213,0.007226696237921715,0.008084776811301708,0.011021264126023462,0.10498220861661971,0.08010275584437553,-50.03120678499152,64.0
SGD,0.001,0.0005,0.24744432691543822,0.007226050831377506,0.008084001019597054,0.011020237424773682,0.10497731862061291,0.08009905492678884,-50.02645290166336,64.0
SGD,0.001,0.001,0.24800809602888804,0.00722523545846343,0.008083009161055088,0.011018919722079279,0.10497104230252874,0.08009430002213123,-50.020351608934114,64.0
