Optimizer,lr,wd,curv,surrogate,Avg Epoch Time (s),Final Train MSE,Final Val MSE,Test MSE,Test RMSE,Test MAE,Test R²,Dir Acc (%)
Roaree,0.001,0.1,1000,sigmoid,0.2512050923847017,0.0008655665442347527,0.0006972145056352019,0.0008158977297780433,0.02856392357114203,0.023022549248978313,-2.7778103571074713,60.0
Roaree,0.01,0,1000,sigmoid,0.24931338476756262,0.0010789221851155162,0.007236777804791927,0.003236553623009988,0.056890716492324016,0.02401995252434332,-13.986051991671918,31.0
Roaree,0.01,0.001,1000,sigmoid,0.2540896165938604,0.0014101073611527681,0.009612026624381542,0.00557368637775931,0.07465712543193255,0.026424002414358893,-24.807560625148582,36.0
Roaree,0.01,0.01,1000,sigmoid,0.24549142519632974,0.0014663910260424018,0.010659432969987392,0.005159686647640072,0.07183095883837325,0.028126995083193183,-22.890638428650217,31.0
Roaree,0.01,0.1,1000,sigmoid,0.2508188656398228,0.0028992968145757914,0.021141134202480316,0.006350451874273739,0.07968972251346933,0.0382968232496834,-28.404178964280657,53.0
Roaree,0.0001,0,10,erf,0.24681732389662,0.07269158214330673,0.05204641819000244,0.04852342587930841,0.22028033475394124,0.19512660111442381,-223.67558636185478,35.0
Roaree,0.0001,0.001,10,erf,0.24944424629211426,0.07268865406513214,0.052044179290533066,0.04852139485452981,0.22027572461469697,0.19512224817790266,-223.66618220963804,35.0
Roaree,0.0001,0.01,10,erf,0.246135984148298,0.07267013192176819,0.052029892802238464,0.04850787970144438,0.22024504466944173,0.19509393094249244,-223.60360367382336,35.0
Roaree,0.0001,0.1,10,erf,0.2453802048213898,0.07246700674295425,0.05187268182635307,0.04835985880915739,0.21990875109726168,0.19477966312810022,-222.91822995657796,35.0
Roaree,0.001,0,10,erf,0.24787395719497923,0.006385999731719494,0.005481838248670101,0.006887496555629515,0.08299094261200746,0.06452032987757264,-30.890830030226464,53.0
Roaree,0.001,0.001,10,erf,0.24909744943891252,0.006384741980582476,0.005480518098920584,0.006885759978750204,0.08298047950421956,0.06451232119260965,-30.882789245357067,53.0
Roaree,0.001,0.01,10,erf,0.24562570026942662,0.006373793352395296,0.0054689678363502026,0.00687061104498183,0.0828891491389665,0.06444233373099849,-30.81264589674784,53.0
Roaree,0.001,0.1,10,erf,0.24968607841976106,0.006265029311180115,0.005354881286621094,0.006721161115658087,0.08198268790213022,0.06374651632709571,-30.120655380948993,53.0
Roaree,0.01,0,10,erf,0.2479860328492664,0.0018365316791459918,0.0013860983308404684,0.0018581902843639434,0.04310673131152423,0.03540833942548041,-7.603885322313953,60.0
Roaree,0.01,0.001,10,erf,0.24851884539165195,0.0018338962690904737,0.0013842347543686628,0.0018542521478030747,0.0430610281786568,0.03536947855332536,-7.585650766015579,60.0
Roaree,0.01,0.01,10,erf,0.24598392607673766,0.00181041588075459,0.0013676186790689826,0.0018193338437696898,0.04265364982940721,0.03502263523914288,-7.423970293309969,60.0
Roaree,0.01,0.1,10,erf,0.24509609691680423,0.001593541819602251,0.0012129589449614286,0.0015077996691835107,0.038830396201732356,0.03177586206446484,-5.981489221981626,59.0
Roaree,0.0001,0,100,erf,0.247179353047931,0.009907514788210392,0.009275638498365879,0.012668245873498303,0.11255330236602702,0.08869430936910805,-57.657143806865626,71.0
Roaree,0.0001,0.001,100,erf,0.25269524634830537,0.0099070705473423,0.009275532327592373,0.012668285018108422,0.11255347625954705,0.08869445968224328,-57.65732505619154,71.0
Roaree,0.0001,0.01,100,erf,0.24762111239963108,0.009904442355036736,0.009274209849536419,0.012667254872933274,0.1125488999188054,0.08869151946660724,-57.65255522662839,71.0
Roaree,0.0001,0.1,100,erf,0.24590013897608196,0.009876000694930553,0.009263800457119942,0.012663556206338968,0.11253246734315821,0.08868437363687563,-57.635429476111526,71.0
Roaree,0.001,0,100,erf,0.2513864002530537,0.0018662435468286276,0.001484694192185998,0.0018703154607787415,0.043247143960945464,0.03580963710341089,-7.660027918830359,59.0
