Optimizer,lr,wd,curv,surrogateAvg Epoch Time (s),Final Train MSE,Final Val MSE,Test MSE,Test RMSE,Test MAE,Test R²,Dir Acc (%)
Roaree,0.001,0.01,100,softsign,0.2559753561776782,0.0016604954143986106,0.0013656772207468748,0.0019803193706185006,0.04450077943832558,0.03611548828122408,-8.169373508047784,63.0
Roaree,0.001,0.1,100,softsign,0.26624273875403026,0.0016338784480467439,0.0013427112717181444,0.0019389078035946577,0.04403303082453736,0.03572436177216672,-7.97762760522577,63.0
Roaree,0.01,0,100,softsign,0.262131479051378,0.01784103736281395,0.018129128962755203,0.021398620537025535,0.14628267339991272,0.12721458702554472,-98.08095995631632,69.0
Roaree,0.01,0.001,100,softsign,0.25449774000379777,0.01779179647564888,0.018078496679663658,0.021335739029639846,0.14606758377422366,0.1270285436252273,-97.7898028649284,69.0
Roaree,0.01,0.01,100,softsign,0.2623145996578156,0.017353931441903114,0.01762828603386879,0.02077685664346369,0.14414179353492063,0.1253623762095488,-95.20203776908042,69.0
Roaree,0.01,0.1,100,softsign,0.28196127830989776,0.013413754291832447,0.013580024242401123,0.01577331361940398,0.12559185331622422,0.10927047675972817,-72.03438333318952,69.0
Roaree,0.0001,0,500,softsign,0.2541039671216692,0.010760624893009663,0.008815879933536053,0.011269278308517991,0.10615685709608208,0.08370367300722903,-51.17957442120527,66.0
Roaree,0.0001,0.001,500,softsign,0.2566180418408106,0.010760053060948849,0.00881568156182766,0.011269245278437248,0.10615670152391345,0.08370362184968,-51.179421483678205,66.0
Roaree,0.0001,0.01,500,softsign,0.25933610068427193,0.010756856761872768,0.008814028464257717,0.01126805402486149,0.10615109054956284,0.08370016288038498,-51.1739056819641,66.0
Roaree,0.0001,0.1,500,softsign,0.2543404934898255,0.010721114464104176,0.008798733353614807,0.011261159193256235,0.10611860908085931,0.08368440768242037,-51.14198088882131,66.0
Roaree,0.001,0,500,softsign,0.2560782129802401,0.0018027862533926964,0.0015610966365784407,0.0019055778710213595,0.04365292511414739,0.03626761886327192,-7.823301689266481,56.00000000000001
Roaree,0.001,0.001,500,softsign,0.26424340596274726,0.0018026740290224552,0.0015610193368047476,0.0019052922493277796,0.04364965348462436,0.036264615224568544,-7.821979189456961,56.00000000000001
Roaree,0.001,0.01,500,softsign,0.2554822270832365,0.0018016938120126724,0.0015603521605953574,0.0019028113207842149,0.043621225576366086,0.03623839687126353,-7.810491870391038,56.00000000000001
Roaree,0.001,0.1,500,softsign,0.2529194203634111,0.001791882561519742,0.0015536792343482375,0.0018782296545438192,0.04333854698237839,0.03597667595873252,-7.696672613480997,56.00000000000001
Roaree,0.01,0,500,softsign,0.2565127062419104,0.029120909050107002,0.031688444316387177,0.0332396544705715,0.18231745519991086,0.17011457950992528,-152.9079057858876,34.0
Roaree,0.01,0.001,500,softsign,0.26015272594633554,0.029083212837576866,0.03165688365697861,0.03320519784556467,0.1822229344664515,0.1700231241173858,-152.74836300243462,34.0
Roaree,0.01,0.01,500,softsign,0.26460646826123435,0.02875356748700142,0.031376730650663376,0.03291215120958485,0.18141706427341628,0.16923530836774056,-151.39148385433202,34.0
Roaree,0.01,0.1,500,softsign,0.25428844633556547,0.02561875618994236,0.028063423931598663,0.02920319550979157,0.17088942480385255,0.15872795676065632,-134.21809220812216,34.0
